name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Sheets, Gavin",False,0.366,0.32,0.281,0.547,15.0,91.5,50.55762081784386,13.7,0.0
"Carroll, Corbin",False,0.381,0.376,0.286,0.612,17.4,93.5,51.85185185185185,19.9,0.0
"Grisham, Trent",False,0.358,0.342,0.273,0.564,16.2,90.8,44.54976303317535,15.9,0.0
"Contreras, William",False,0.293,0.29,0.305,0.411,7.1,91.2,46.619217081850536,14.5,0.0
"Paredes, Isaac",True,0.289,0.328,0.271,0.417,24.3,87.4,32.77310924369748,12.7,0.0
"Rodríguez, Julio",False,0.334,0.316,0.308,0.504,9.4,91.9,47.756410256410255,20.2,0.0
"Keith, Colt",False,0.346,0.301,0.302,0.511,14.8,90.4,45.02369668246445,14.9,0.0
"Duran, Jarren",True,0.316,0.322,0.325,0.469,13.5,92.6,47.781569965870304,21.2,0.0
"Winn, Masyn",True,0.285,0.293,0.308,0.399,18.2,88.6,36.66666666666666,15.6,0.0
"Swanson, Dansby",False,0.361,0.311,0.314,0.543,13.6,91.0,49.81549815498156,22.8,0.0
"Abrams, CJ",False,0.323,0.326,0.285,0.475,13.5,89.8,43.06569343065693,14.4,0.0
"Arozarena, Randy",True,0.345,0.335,0.301,0.529,15.1,93.0,54.11764705882353,22.3,0.0
"Yelich, Christian",False,0.324,0.323,0.309,0.49,2.6,91.2,48.01587301587302,23.6,0.0
"Realmuto, J.T.",False,0.304,0.291,0.336,0.428,9.8,90.4,44.888888888888886,21.3,0.0
"Alonso, Pete",False,0.392,0.331,0.292,0.639,17.0,93.9,52.85714285714286,20.9,0.0
"Riley, Austin",True,0.341,0.312,0.325,0.522,18.1,92.7,52.30769230769232,24.2,0.0
"Caminero, Junior",False,0.338,0.347,0.259,0.514,11.5,92.1,49.122807017543856,16.9,0.0
"Merrill, Jackson",True,0.353,0.3,0.313,0.533,14.8,90.5,44.55445544554456,19.8,0.0
"Castro, Willi",False,0.302,0.313,0.317,0.43,14.1,88.2,42.71356783919598,22.3,0.0
"Meidroth, Chase",True,0.288,0.271,0.287,0.383,10.2,89.0,38.55421686746988,7.7,0.0
"India, Jonathan",False,0.326,0.284,0.292,0.461,18.7,89.2,39.24914675767919,10.7,0.0
"Trout, Mike",True,0.387,0.333,0.282,0.614,19.6,91.9,50.55555555555556,24.1,0.0
"Perez, Salvador",False,0.376,0.325,0.283,0.585,18.9,90.8,47.0,15.7,0.0
"Tatis Jr., Fernando",True,0.35,0.31,0.293,0.527,8.9,93.0,51.77304964539007,17.6,0.0
"Rengifo, Luis",False,0.311,0.276,0.3,0.427,6.8,87.8,34.090909090909086,13.7,0.0
"Abreu, Wilyer",False,0.361,0.338,0.269,0.573,24.3,91.9,48.38709677419355,20.2,0.0
"Soderstrom, Tyler",False,0.35,0.324,0.275,0.537,10.0,91.5,50.38167938931297,17.4,0.0
"Adell, Jo",False,0.413,0.345,0.254,0.658,15.6,92.0,50.427350427350426,16.1,0.0
"Diaz, Yainer",True,0.353,0.305,0.268,0.526,12.7,91.3,44.522968197879855,11.8,0.0
"Hernández, Teoscar",False,0.336,0.32,0.298,0.501,10.4,89.9,44.78260869565218,22.0,0.0
"Devers, Rafael",False,0.34,0.32,0.305,0.522,12.5,93.4,55.172413793103445,24.6,0.0
"McCutchen, Andrew",False,0.337,0.296,0.294,0.5,15.0,90.0,44.49339207048458,18.0,0.0
"Hayes, Ke'Bryan",False,0.29,0.262,0.309,0.399,9.9,90.8,47.45098039215686,14.3,0.0
