name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Adell, Jo",False,77.6,7.7,7.368712060806389,-5.284967330080391,33.33863479845503
"Diaz, Yainer",True,71.8,7.3,10.7243180119232,0.2743348195124919,27.94947758782208
"Hernández, Teoscar",False,72.8,7.8,10.543537049461468,-0.3580215541404824,31.783500715739315
"Devers, Rafael",False,71.6,7.6,9.466546490318562,5.066294395021439,29.49084339555909
"McCutchen, Andrew",False,71.1,7.7,14.804563777294671,-1.21631181772629,34.369988589494305
"Hayes, Ke'Bryan",False,71.3,6.8,4.835373257259781,1.2059158403246537,26.75330549396195
"Williamson, Ben",False,69.7,6.9,2.528786988606453,5.79541455065746,32.928886881357364
"Gurriel Jr., Lourdes",False,70.8,7.5,10.728002600320156,-6.581776091713181,36.51037875911614
"Sánchez, Jesús",False,75.7,6.9,7.035270361417674,-1.758985224124257,27.31348129508305
"Chisholm Jr., Jazz",False,73.5,7.8,15.77897063509464,-5.359972899184768,33.617124841048074
"Adames, Willy",False,71.9,8.2,18.476695926068395,-3.715944892475703,35.089073799112654
"Frazier, Adam",False,65.7,6.9,9.822410603600073,3.441264728317078,38.77677609048807
"Suárez, Eugenio",False,72.5,7.8,18.77865820810796,-5.546518638968416,38.51968143818582
"Thomas, Alek",False,71.7,7.0,9.802069841225066,1.247153336930022,27.29456051869793
"Steer, Spencer",True,70.9,7.4,12.832672188446155,-3.962857934493153,28.6639808310122
"Bogaerts, Xander",True,72.3,7.3,9.67305741589471,-6.330550403069584,30.85486328113696
"Urías, Ramón",False,70.4,7.6,13.46524907987007,2.2258445079446134,27.288570662776586
"Schanuel, Nolan",False,67.9,6.7,8.69504436310328,-1.1477987455935292,38.37165742986176
"McNeil, Jeff",False,71.0,7.4,8.794543275836716,-4.904605485254698,33.109409471553725
"O'Hoppe, Logan",False,72.0,7.6,16.427874083802212,-3.438841367813423,33.38677449135431
"Butler, Lawrence",False,73.7,7.0,6.632908410139873,1.7100097491501638,30.358633864993067
"Langeliers, Shea",False,72.9,7.1,10.659967354199802,-1.0990117869941385,30.34192384757896
"Ozuna, Marcell",False,73.5,7.2,13.728774014991606,-0.8463987339067969,36.71865279781107
"Hoskins, Rhys",True,71.1,8.2,16.83331132030194,-7.088635922806624,33.72690311874848
"Larnach, Trevor",False,72.2,7.3,8.461645800212612,-10.606971742717468,34.79467203492128
"Lowe, Josh",False,72.1,7.3,6.1792486564254006,-0.6441733435015957,35.32725218110768
