name,scissor_kick_combined,xwoba,woba,babip,slg,xslg,attack_angle,attack_direction,swing_path_tilt,hardhit_percent,obp,k_percent,bb_percent,singles,doubles,triples,hrs,bat_speed,swing_length,pa,whiffs,swings,launch_angle,launch_speed,bip
"Busch, Michael",False,0.291,0.295,0.303,0.433,0.438,14.446510996214617,-0.6573726702197706,33.92826798729117,40.41811846689895,0.262,21.8,0,63,18,2,13,65.8,6.9,367,208,812,14.3,88.3,287
"Aranda, Jonathan",False,0.342,0.342,0.347,0.493,0.507,6.712330912436928,7.6324556846774,34.607435865523414,44.83985765124555,0.311,18.0,0,76,17,0,14,68.3,7.0,344,177,808,13.9,91.1,282
"Vargas, Miguel",False,0.36,0.321,0.246,0.511,0.557,11.79742165783262,-2.8586670585388543,34.53355264407909,46.62379421221865,0.253,15.4,0,45,25,1,22,72.2,7.7,369,165,805,20.3,90.7,311
"Wood, James",False,0.419,0.39,0.345,0.626,0.679,10.48431109569835,2.1724332729233287,39.64985849167309,58.582089552238806,0.304,27.4,0,56,25,1,30,74.0,7.4,369,252,803,10.0,95.1,268
"Montgomery, Colson",False,0.305,0.319,0.272,0.51,0.481,11.854547673397636,-5.743746869914486,33.453713173874256,42.67782426778243,0.246,28.7,0,42,17,0,24,74.4,7.8,338,301,802,23.2,89.1,241
"Lee, Brooks",True,0.247,0.296,0.264,0.439,0.343,10.158418440740968,-4.89586258486108,30.552974723081253,31.08974358974359,0.256,14.3,0,60,15,3,15,68.0,6.9,364,169,801,14.6,87.0,312
"Carroll, Corbin",False,0.315,0.327,0.299,0.517,0.478,10.542410713512597,2.1698634276875604,25.95431615612028,48.93617021276596,0.264,21.2,0,48,21,12,15,74.2,7.4,363,227,801,14.2,91.7,286
"Marte, Ketel",False,0.345,0.313,0.26,0.477,0.509,8.822199016870409,-7.054608559356375,31.706748472990828,44.38040345821326,0.264,12.1,0,63,20,3,19,73.3,7.7,398,168,800,12.7,90.4,350
"Arraez, Luis",False,0.282,0.332,0.328,0.454,0.373,7.703652733500776,3.910053990076957,36.70318219587968,20.55837563451777,0.323,3.7,0,96,23,7,4,61.6,5.8,409,64,800,14.6,85.9,394
"Arozarena, Randy",True,0.31,0.327,0.342,0.473,0.446,6.884521896220995,7.005183434602716,26.53551409526022,43.11594202898551,0.293,21.6,0,68,21,1,13,68.7,7.1,352,224,800,7.8,91.2,276
"Adames, Willy",False,0.276,0.295,0.28,0.457,0.414,14.801929283660163,-3.176508393761716,33.69454086157593,39.85239852398524,0.24,26.7,0,46,24,1,18,70.5,8.1,371,231,796,22.1,88.1,272
"Marsh, Brandon",False,0.308,0.334,0.356,0.487,0.45,8.541910066869308,-0.2829858072985411,37.27645269332531,45.8955223880597,0.296,24.9,0,73,15,2,16,69.8,7.1,358,211,795,12.8,89.4,269
"Tucker, Kyle",False,0.305,0.28,0.28,0.404,0.43,8.825760272906454,-4.766847434356155,36.08887356279018,38.92857142857143,0.253,16.7,0,56,18,2,9,68.8,7.3,336,182,792,16.3,88.8,280
"Young, Cole",False,0.311,0.291,0.283,0.417,0.441,5.245018896145049,-0.3957216217734977,28.03953214305005,38.36477987421384,0.263,15.9,0,70,14,2,13,69.8,6.9,378,151,790,14.3,88.4,318
"McGonigle, Kevin",True,0.317,0.317,0.319,0.439,0.461,14.726990683585589,1.6217424903839246,36.54168433551768,37.53846153846154,0.296,12.1,0,78,20,3,9,69.5,6.9,371,130,789,20.5,88.1,326
"Tatis Jr., Fernando",True,0.334,0.301,0.337,0.413,0.461,5.8863929086675535,4.09896193306579,29.37581170472093,53.70370370370371,0.287,18.6,0,84,20,2,8,73.0,7.2,398,225,784,4.7,91.5,324
"Langeliers, Shea",False,0.357,0.349,0.295,0.539,0.556,11.134748395651249,-0.6591553596027363,31.080530383160465,45.55160142348754,0.284,19.3,0,57,19,0,23,74.1,7.2,348,222,781,19.7,91.8,281
"Schmitt, Casey",True,0.354,0.332,0.291,0.504,0.534,8.56614512706559,-5.797948904432637,33.40261037766724,44.98381877022653,0.28,17.3,0,66,17,1,21,70.5,7.5,375,167,780,21.5,89.9,310
"Duran, Jarren",True,0.27,0.235,0.244,0.356,0.389,5.446114329258441,-0.8921741643129509,27.34685102620443,38.93129770992366,0.201,28.6,0,48,10,3,13,73.0,7.5,370,267,777,12.4,88.9,264
"Kurtz, Nick",False,0.348,0.361,0.371,0.556,0.551,11.541483614070165,6.024145619941828,37.62447840403767,57.971014492753625,0.294,32.4,0,53,15,1,21,76.4,7.7,306,283,775,12.0,93.2,207
"Castro, Willi",False,0.27,0.298,0.34,0.421,0.395,8.051007172157174,-2.607305877740445,37.002581528720064,40.17857142857143,0.272,26.2,0,58,15,0,10,71.2,7.2,305,233,774,19.7,87.5,225
"Rumfield, TJ",False,0.279,0.338,0.325,0.487,0.393,8.956676109881341,-1.9980882801679256,36.11443611323715,28.196721311475407,0.304,14.2,0,72,22,2,13,66.8,6.5,359,160,774,15.7,83.7,308
"Bregman, Alex",False,0.261,0.273,0.268,0.389,0.367,13.92677573738137,-4.40148562533259,28.270669813785403,36.30952380952381,0.251,14.1,0,69,17,1,11,68.2,6.9,391,129,773,17.1,87.9,336
"Wetherholt, JJ",False,0.313,0.294,0.275,0.417,0.459,10.876521524775688,5.506614741790327,32.26669360871346,45.17133956386293,0.267,13.4,0,75,10,0,15,70.1,7.5,374,164,772,12.2,89.8,324
"Rocchio, Brayan",True,0.266,0.291,0.296,0.407,0.362,8.04234054938116,-5.108282982878009,28.271952227795857,31.921824104234524,0.272,14.2,0,70,16,2,9,68.3,7.2,360,179,772,11.9,85.7,309
"Alvarez, Yordan",True,0.467,0.432,0.33,0.683,0.756,7.892605698989994,-4.225371328491439,36.53659291475877,53.77049180327869,0.342,15.4,0,70,20,0,34,74.9,7.6,363,150,769,19.7,94.6,307
"Díaz, Yandy",False,0.336,0.346,0.33,0.488,0.471,1.5837226454817617,8.347870577107328,23.68148221767153,46.68674698795181,0.318,11.2,0,86,18,1,14,72.3,7.5,374,110,769,5.4,90.7,332
"Ohtani, Shohei",False,0.389,0.362,0.328,0.561,0.608,12.494289644930518,1.6718048084434414,37.32426565449284,53.45454545454545,0.299,21.5,0,62,19,2,22,73.0,7.8,353,232,769,12.9,93.5,275
"Contreras, Willson",False,0.354,0.371,0.342,0.578,0.545,10.425105757114874,-6.198080161511855,33.71776277928297,46.69421487603306,0.302,24.9,0,56,18,2,22,74.6,7.8,325,234,767,18.2,90.6,244
"Benge, Carson",False,0.32,0.294,0.314,0.41,0.454,4.989173712208904,5.1514847799898495,33.32839274652572,40.625,0.272,20.1,0,73,13,2,11,68.6,6.4,364,167,767,10.6,89.1,291
"Edwards, Xavier",False,0.281,0.306,0.327,0.416,0.385,4.791809667864007,-0.7949267412985968,30.01015325172315,28.783382789317507,0.296,12.7,0,88,14,6,6,65.8,6.3,386,125,760,9.3,85.9,337
"Burger, Jake",False,0.289,0.304,0.283,0.463,0.433,8.597974686953913,-5.841083855902712,25.6352148879372,46.590909090909086,0.254,24.0,0,55,15,0,19,73.5,7.4,350,262,759,13.4,90.0,266
"Torkelson, Spencer",True,0.287,0.285,0.268,0.453,0.448,14.765654763721148,-6.851682210006379,37.92410434766991,42.290748898678416,0.225,31.7,0,38,18,0,19,71.5,7.7,334,238,759,20.2,90.0,228
