"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
668930,"Turang, Brice","L","L",30.576076827593454,27.126713729418178,25.696569408679725,-8.168278089120086,31.46060842377316,0.8845315961797127
656941,"Schwarber, Kyle","L","L",21.417669275768816,25.204197470425584,30.700606433726797,-7.421562479316487,32.6813878087068,11.263718532937887
666971,"Gurriel Jr., Lourdes","R","R",28.597829373353523,25.857807100031906,24.831802452058707,-14.147798913469929,31.130452507664266,2.6036844583563834
607043,"Nimmo, Brandon","L","L",28.25757979223167,31.577720271668262,25.880129035224204,-10.348273442357032,26.94076983073849,-1.237451225673233
669065,"Stowers, Kyle","L","L",29.45802392948897,29.341502394969204,34.47094734977269,-9.774599544668787,31.761793346069247,2.342292407299105
518692,"Freeman, Freddie","L","L",29.0491869870576,30.105068174952493,32.844055401107326,1.4930930022670688,26.61142646917811,-2.437760517879539
592885,"Yelich, Christian","L","L",27.853226290767267,29.2726454326329,31.930663211243917,0.10175300037707602,26.831665280332754,-1.0215610104345458
575929,"Contreras, Willson","R","R",23.594383813992618,30.099266258351506,25.610576101390578,-6.371563071631667,28.53228831707289,5.012475232420812
696100,"Goodman, Hunter","R","R",28.701747383461925,29.322491153275895,19.392032520135295,-17.433406910470392,38.873319067199965,10.275692665596395
691406,"Caminero, Junior","R","R",27.626213823725465,28.56940768437956,28.673935356763593,-29.813733196609363,35.44703356191071,7.884469192743211
661388,"Contreras, William","R","R",28.951911979851157,27.87110763316222,28.606294430222956,4.669300119619407,29.953038813725666,1.0011268338744799
665487,"Tatis Jr., Fernando","R","R",26.258095130330236,29.31609839158541,23.230148166944726,-43.725728488047096,29.288158308094367,3.030063177764113
673548,"Suzuki, Seiya","R","R",27.556020716753167,27.846559204549784,29.798402651003638,-4.700984175933212,34.76589321496689,7.209872498213699
695578,"Wood, James","L","L",31.04198091072854,29.56665923042732,27.62104677967694,-22.845873658430406,32.77869486239504,1.7367139516664984
664040,"Lowe, Brandon","L","L",27.209102421908316,26.525354912554548,21.790355785317065,-1.7755073498036742,33.60702553894807,6.397923117039738
671739,"Harris II, Michael","L","L",31.159943315421746,28.848868342915136,19.868985266489034,-11.311151460660147,29.794198497622922,-1.3657448177988467
679529,"Torkelson, Spencer","R","R",32.909665712081356,28.072295880757586,26.476987893609405,-16.238202690835436,30.366396364890136,-2.543269347191247
682998,"Carroll, Corbin","L","L",30.567430423887842,29.37222787055618,26.04756028723253,-3.1169311467384895,36.9142122706447,6.346781846756905
666018,"Aranda, Jonathan","L","L",27.24003324350675,29.47644694349238,31.29370142038205,-17.423034407356276,27.414068391964808,0.1740351484580671
