name,uid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,scissor_kick,scissor_kick_l,scissor_kick_r
"Dingler, Dillon",b693307_r,169.27179520000004,341.5984128,103.6595648,148.73923200000002,155.45705280000004,312.6312128,166.70448640000004,90.6237824,,,,,,,,,True,,
"Dubón, Mauricio",b643289_r,169.80656929178468,334.353729631728,81.9371254390935,213.7793851558073,96.9289320851064,311.24327466666665,148.68974683687944,117.00667892198584,,,,,,,,,True,,
"Duran, Ezequiel",b677649_r,161.02316088328078,328.44553388012616,137.5067793059937,182.20893577287063,126.6619512933754,303.4441176025237,160.3213249211357,75.27040757097791,,,,,,,,,True,,
"Duran, Jarren",b680776_l,94.82620483775816,203.5130683185841,94.55897699115044,346.2267492625369,75.82553982300885,40.21406607669618,112.37348672566372,298.4590706784661,,,,,,,,,True,,
"Durbin, Caleb",b702332_r,159.66719058823534,324.36509267552185,142.9234787096774,170.32651294117647,167.33632030360533,320.80709677419355,148.5586486527514,107.39383954459204,,,,,,,,,False,,
"Díaz, Yandy",b650490_r,149.63014353284672,337.01173675912406,78.270147270073,198.69236227737227,140.32044309489052,310.0766294890512,135.11657459854015,71.93391322627737,,,,,,,,,False,,
"Edwards, Xavier",b669364_s,98.89386857142856,146.78980634920634,60.97214634920634,312.93826666666666,82.00689746031746,63.78462063492066,77.13435714285718,291.39770412698414,178.8497588321168,278.59699854014593,154.95317021897807,124.38701313868614,151.81525489051097,253.17631649635035,139.94392058394163,31.04798481751827,,False,False
"Ewing, A.J.",b805999_l,50.59841440758293,139.44701763033174,59.99930957345971,324.1132079620853,58.95363639810425,73.84334445497635,91.336047393365,286.76446180094786,,,,,,,,,True,,
"France, Ty",b664034_r,177.36454241584164,330.373068990099,91.36377093069302,187.94553853465345,146.2354971881188,298.06882376237627,135.23082265346534,79.60545996039602,,,,,,,,,False,,
"Freeman, Freddie",b518692_l,84.31444604594923,168.5729017654172,92.50077775090688,351.18610437726727,57.8881391051995,115.02764285368804,70.7610830471584,338.3120940266022,,,,,,,,,False,,
"García Jr., Luis",b671277_l,106.84410382695508,175.4518996339434,71.42879520798667,337.9158024625624,96.85713091514144,102.3383456905158,81.05524286189684,323.6202289517471,,,,,,,,,False,,
"García, Adolis",b666969_r,156.87248842105268,335.5484909839817,115.3675877345538,177.94937080091535,144.186644576659,309.3723192677345,157.86817061784896,90.91289409610982,,,,,,,,,True,,
"Giménez, Andrés",b665926_l,97.04222777589136,133.7795637351443,81.05577507640068,324.8780558234296,55.915888624787726,87.3573750764007,71.48069813242783,308.34411816638374,,,,,,,,,False,,
"Goldschmidt, Paul",b502671_r,137.7927911836735,311.0883033469388,130.22773355102044,113.94941387755102,129.4484466938776,301.1448675918368,128.99698481632652,90.01810971428573,,,,,,,,,False,,
"Gonzales, Nick",b693304_r,155.30625874285715,334.30794994285714,103.36714034285713,194.76592914285715,158.48806148571433,317.6307417142857,164.95084434285712,116.03333828571432,,,,,,,,,False,,
"Goodman, Hunter",b696100_r,150.24022941678518,339.78734110953064,120.71145763869131,234.4374980369844,133.42650355618778,301.72634128022764,155.4418508108108,50.15714640113802,,,,,,,,,True,,
"Greene, Riley",b682985_l,88.72469454545454,186.00864791443848,65.71253112299468,333.8810506951871,52.43544064171123,101.72467037433157,76.6993970053476,312.32095529411765,,,,,,,,,True,,
"Griffin, Konnor",b804606_r,139.854692718894,336.98944884792627,120.42794322580642,170.82185290322582,114.63980157043878,290.3926030484988,159.4361178752887,65.16407833718246,,,,,,,,,True,,
"Grisham, Trent",b663757_l,128.3743630237581,204.33276855291572,92.17965408207344,343.43037857451407,71.28799032397406,138.3229487688985,79.05148475161988,341.85403058315336,,,,,,,,,False,,
"Guerrero Jr., Vladimir",b665489_r,144.0803737423313,326.18926822085893,117.62177521472393,162.94667312883436,137.6268323926381,306.44444711656445,136.1287666257669,73.46247950920247,,,,,,,,,False,,
"Happ, Ian",b664023_s,75.50342400000001,194.242924,75.493952,339.02618,66.07517999999997,108.048264,62.574508,321.221112,158.8978793908629,331.6510042639594,146.4614854822335,189.4845352284264,166.4639163451777,316.0889299492386,142.67242233502537,114.74709441624368,,False,False
"Harper, Bryce",b547180_l,110.77094968071522,136.2279311366539,70.7517948403576,300.1414359131545,77.99466830140487,53.24333731800769,63.16721430395914,262.5448435249042,,,,,,,,,False,,
"Harris II, Michael",b671739_l,128.860741325811,214.98041681241185,84.46604569816644,331.54508366713685,76.98286578279264,90.81465252468264,86.4048462623413,312.57054330042314,,,,,,,,,False,,
"Henderson, Gunnar",b683002_l,90.0696983558282,158.75107514110428,74.2583422822086,335.5130736687117,76.3902217199017,55.27658614250612,85.46471744471738,294.3996235872236,,,,,,,,,True,,
"Hernández, Teoscar",b606192_r,143.62026466960353,337.7677000881058,135.95541885462555,173.22944211453745,128.6094956828194,321.0515510132158,131.1090325991189,116.89906079295152,,,,,,,,,False,,
"Herrera, Iván",b671056_r,167.86062617563746,343.4705817563739,44.54024271954678,197.7842028328612,147.7308398866856,311.1600031728045,163.22487478753547,79.93209223796035,,,,,,,,,True,,
"Hicks, Liam",b689414_l,124.01915609756102,226.83683154471544,54.96656780487804,329.7424048780488,33.376911869918686,99.24824487804878,49.63820813008131,308.54028,,,,,,,,,False,,
"Hoerner, Nico",b663538_r,164.8243735768646,346.8875407001523,133.50715592085237,175.0731202435312,122.67584876712326,313.801515738204,152.48720024353116,90.32700907153728,,,,,,,,,True,,
"Hoskins, Rhys",b656555_r,144.25022588235296,334.1902682352942,130.85639058823529,200.0046352941177,128.97514352941178,315.0357458823529,139.06980705882353,88.90744470588237,,,,,,,,,True,,
"Jensen, Carter",b695600_l,91.92084112852667,139.31701742946709,67.4976310971787,321.797605015674,73.238629968652,24.333652413793075,89.99904501567396,269.1727769278997,,,,,,,,,True,,
"Johnston, Troy",b687859_l,145.2353585018726,274.4254657677903,62.069503220973786,348.57798382022474,62.82852014981273,115.61642576779025,77.00211925093632,324.61820284644193,,,,,,,,,True,,
"Jung, Josh",b673962_r,153.1656750515464,303.70062570446737,149.50216962199315,165.26955298969074,135.8075282474227,270.51747793814434,153.3189910652921,58.57200384879727,,,,,,,,,True,,
"Karros, Kyle",b691720_r,154.29199881700555,306.3616405175601,117.3616218853974,112.25179977818854,168.97449966728277,298.8840020702403,154.42729109057305,100.62530720887248,,,,,,,,,False,,
"Keaschall, Luke",b807712_r,170.29074473581218,320.7650251272016,120.04459585127202,131.55611146771037,142.08022168297455,281.4145797260274,161.14519639921727,71.76176125244618,,,,,,,,,True,,
"Keith, Colt",b690993_l,93.229944109589,137.6836211872146,82.89633315068495,326.0183086757991,65.11028639269406,71.48950648401828,84.81663378995432,303.03090374429223,,,,,,,,,False,,
"Kelly, Carson",b608348_r,149.67844346604215,341.730371147541,157.00995147540985,200.33744149882904,151.55605508196723,328.794709882904,163.75328711943794,125.84456018735364,,,,,,,,,False,,
"Kurtz, Nick",b701762_l,137.69761652582167,125.59043205007823,89.83004269170584,286.1561036619718,92.90032776212831,61.81149621283254,78.50943273865418,278.5080185289515,,,,,,,,,False,,
"Kwan, Steven",b680757_l,60.0168451804671,257.6363549893843,52.69659651804674,309.1079819957537,51.9464272340426,102.41392851063829,42.54503965957447,296.5980020425532,,,,,,,,,False,,
"Langeliers, Shea",b669127_r,161.82296765432102,328.191304691358,81.42298469135802,159.7541565432099,165.68732197530863,310.58109382716054,141.8032051851852,76.30960246913577,,,,,,,,,False,,
"Larnach, Trevor",b663616_l,72.9349535864979,147.85467848101266,72.26771679324894,345.81810362869203,37.29365333333335,101.92788793248944,77.58825586497889,326.39438784810125,,,,,,,,,False,,
"Lee, Brooks",b686797_s,75.95113191489368,134.85614876595747,64.9252245106383,326.55398502127656,76.72089123404253,83.2164224680851,71.14450859574465,303.9142250212766,143.42797876106195,331.06672141592924,148.9958994690266,125.2057253097345,133.7306414159292,303.1177430088496,159.59195327433625,85.12093168141593,,False,True
"Lee, Jung Hoo",b808982_l,133.17853514834206,193.99683713787084,44.995864293193705,309.4160952181501,66.5711706806283,68.3896954973822,43.36850931937172,293.2480156369983,,,,,,,,,False,,
"Lewis, Royce",b668904_r,132.29187127572018,310.0810271604938,143.470249218107,157.08679407407408,119.93744592592594,323.9724098765432,148.96649086419757,88.28129711934157,,,,,,,,,True,,
