name,scissor_kick_combined,pa,obp,slg,singles,doubles,triples,hrs,whiffs,swings,bip,singles_per_pa,doubles_per_pa,triples_per_pa,hrs_per_pa,singles_per_bip,doubles_per_bip,triples_per_bip,hrs_per_bip,whiff_percent,ops
"Carroll, Corbin",False,363,0.264,0.517,48,21,12,15,227,801,286,0.1322314049586777,0.05785123966942149,0.03305785123966942,0.04132231404958678,0.16783216783216784,0.07342657342657342,0.04195804195804196,0.05244755244755245,0.2833957553058677,0.781
"Marte, Ketel",False,398,0.264,0.477,63,20,3,19,168,800,350,0.15829145728643215,0.05025125628140704,0.007537688442211055,0.04773869346733668,0.18,0.05714285714285714,0.008571428571428572,0.054285714285714284,0.21,0.741
"Arraez, Luis",False,409,0.323,0.454,96,23,7,4,64,800,394,0.23471882640586797,0.05623471882640587,0.017114914425427872,0.009779951100244499,0.2436548223350254,0.0583756345177665,0.017766497461928935,0.01015228426395939,0.08,0.777
"Arozarena, Randy",True,352,0.293,0.473,68,21,1,13,224,800,276,0.19318181818181818,0.05965909090909091,0.002840909090909091,0.036931818181818184,0.2463768115942029,0.07608695652173914,0.0036231884057971015,0.04710144927536232,0.28,0.766
"Adames, Willy",False,371,0.24,0.457,46,24,1,18,231,796,272,0.12398921832884097,0.0646900269541779,0.0026954177897574125,0.04851752021563342,0.16911764705882354,0.08823529411764706,0.003676470588235294,0.0661764705882353,0.29020100502512564,0.6970000000000001
"Tucker, Kyle",False,336,0.253,0.404,56,18,2,9,182,792,280,0.16666666666666666,0.05357142857142857,0.005952380952380952,0.026785714285714284,0.2,0.06428571428571428,0.007142857142857143,0.03214285714285714,0.2297979797979798,0.657
"Tatis Jr., Fernando",True,398,0.287,0.413,84,20,2,8,225,784,324,0.21105527638190955,0.05025125628140704,0.005025125628140704,0.020100502512562814,0.25925925925925924,0.06172839506172839,0.006172839506172839,0.024691358024691357,0.2869897959183674,0.7
"Langeliers, Shea",False,348,0.284,0.539,57,19,0,23,222,781,281,0.16379310344827586,0.05459770114942529,0.0,0.06609195402298851,0.20284697508896798,0.06761565836298933,0.0,0.08185053380782918,0.28425096030729835,0.823
"Duran, Jarren",True,370,0.201,0.356,48,10,3,13,267,777,264,0.12972972972972974,0.02702702702702703,0.008108108108108109,0.03513513513513514,0.18181818181818182,0.03787878787878788,0.011363636363636364,0.04924242424242424,0.3436293436293436,0.5569999999999999
"Castro, Willi",False,305,0.272,0.421,58,15,0,10,233,774,225,0.1901639344262295,0.04918032786885246,0.0,0.03278688524590164,0.2577777777777778,0.06666666666666667,0.0,0.044444444444444446,0.30103359173126615,0.6930000000000001
"Díaz, Yandy",False,374,0.318,0.488,86,18,1,14,110,769,332,0.22994652406417113,0.0481283422459893,0.00267379679144385,0.0374331550802139,0.25903614457831325,0.05421686746987952,0.0030120481927710845,0.04216867469879518,0.14304291287386217,0.806
"Ohtani, Shohei",False,353,0.299,0.561,62,19,2,22,232,769,275,0.17563739376770537,0.053824362606232294,0.0056657223796034,0.06232294617563739,0.22545454545454546,0.06909090909090909,0.007272727272727273,0.08,0.3016905071521456,0.8600000000000001
"Contreras, Willson",False,325,0.302,0.578,56,18,2,22,234,767,244,0.1723076923076923,0.055384615384615386,0.006153846153846154,0.06769230769230769,0.22950819672131148,0.07377049180327869,0.00819672131147541,0.09016393442622951,0.3050847457627119,0.8799999999999999
"Edwards, Xavier",False,386,0.296,0.416,88,14,6,6,125,760,337,0.22797927461139897,0.03626943005181347,0.015544041450777202,0.015544041450777202,0.26112759643916916,0.04154302670623145,0.017804154302670624,0.017804154302670624,0.16447368421052633,0.712
"Burger, Jake",False,350,0.254,0.463,55,15,0,19,262,759,266,0.15714285714285714,0.04285714285714286,0.0,0.054285714285714284,0.20676691729323307,0.05639097744360902,0.0,0.07142857142857142,0.3451910408432148,0.7170000000000001
"Torkelson, Spencer",False,334,0.225,0.453,38,18,0,19,238,759,228,0.11377245508982035,0.05389221556886228,0.0,0.05688622754491018,0.16666666666666666,0.07894736842105263,0.0,0.08333333333333333,0.31357048748353095,0.678
"Lopez, Otto",False,410,0.332,0.507,93,27,7,9,153,759,357,0.22682926829268293,0.06585365853658537,0.01707317073170732,0.02195121951219512,0.2605042016806723,0.07563025210084033,0.0196078431372549,0.025210084033613446,0.2015810276679842,0.839
"Bellinger, Cody",False,362,0.268,0.44,62,21,3,11,154,757,309,0.1712707182320442,0.058011049723756904,0.008287292817679558,0.03038674033149171,0.20064724919093851,0.06796116504854369,0.009708737864077669,0.03559870550161812,0.20343461030383092,0.708
"Caminero, Junior",False,385,0.294,0.567,67,17,0,29,170,757,318,0.17402597402597403,0.04415584415584416,0.0,0.07532467532467532,0.21069182389937108,0.05345911949685535,0.0,0.09119496855345911,0.22457067371202113,0.861
"Clement, Ernie",True,402,0.296,0.429,84,26,1,8,123,754,365,0.208955223880597,0.06467661691542288,0.0024875621890547263,0.01990049751243781,0.23013698630136986,0.07123287671232877,0.0027397260273972603,0.021917808219178082,0.16312997347480107,0.725
"Hoerner, Nico",True,414,0.256,0.357,77,23,1,5,88,750,385,0.1859903381642512,0.05555555555555555,0.0024154589371980675,0.012077294685990338,0.2,0.05974025974025974,0.0025974025974025974,0.012987012987012988,0.11733333333333333,0.613
"Smith, Cam",True,329,0.216,0.386,44,13,1,13,216,748,256,0.1337386018237082,0.03951367781155015,0.00303951367781155,0.03951367781155015,0.171875,0.05078125,0.00390625,0.05078125,0.2887700534759358,0.602
"Rice, Ben",False,348,0.299,0.639,52,18,3,31,187,743,275,0.14942528735632185,0.05172413793103448,0.008620689655172414,0.08908045977011494,0.1890909090909091,0.06545454545454546,0.01090909090909091,0.11272727272727273,0.25168236877523553,0.938
"Dingler, Dillon",True,344,0.289,0.563,53,22,2,22,160,741,279,0.15406976744186046,0.06395348837209303,0.005813953488372093,0.06395348837209303,0.18996415770609318,0.07885304659498207,0.007168458781362007,0.07885304659498207,0.21592442645074225,0.8519999999999999
"Guerrero Jr., Vladimir",False,372,0.269,0.368,77,17,0,6,146,739,327,0.20698924731182797,0.0456989247311828,0.0,0.016129032258064516,0.23547400611620795,0.05198776758409786,0.0,0.01834862385321101,0.1975642760487145,0.637
"Meidroth, Chase",True,359,0.293,0.418,77,19,0,8,140,738,283,0.21448467966573817,0.052924791086350974,0.0,0.022284122562674095,0.27208480565371024,0.06713780918727916,0.0,0.028268551236749116,0.1897018970189702,0.711
