name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Bohm, Alec",False,69.4,7.1,4.229056082837066,5.964965287982537,29.49663525958864
"Buxton, Byron",False,72.6,7.9,13.458668885583572,-7.789081630784231,34.499400194686366
"Contreras, William",True,71.2,7.1,7.852101407117832,2.2817834948991496,27.02108389194929
"Mullins, Cedric",False,67.0,7.1,10.519957527496738,-6.934893228567079,30.740070106346423
"Stowers, Kyle",False,72.9,6.7,13.653938385202832,-0.7388730837363959,33.40641814085528
"Varsho, Daulton",False,71.0,7.6,7.914175736995203,-0.2913987278852445,27.38075796722853
"O'Hearn, Ryan",False,69.0,7.1,11.55139249122293,-0.0980612788657945,31.8789199126148
"Steer, Spencer",True,69.6,7.3,12.597541936309648,1.1444099035789077,28.90843644913473
"Suzuki, Seiya",True,70.9,7.2,8.410923693428888,-3.0687719289970694,32.15362168624266
"Stott, Bryson",False,68.1,7.2,9.211590139572458,0.2290584849283818,31.02124751115688
"García Jr., Luis",False,72.3,7.4,9.979327636010453,-1.2809806382839473,27.519213059752506
"Jung, Josh",True,69.0,7.0,11.8812178768,1.2021602894958523,36.47889316975545
"Soderstrom, Tyler",False,72.5,7.4,9.512823767994252,-0.4666863962063481,28.43475347497122
"Baty, Brett",False,72.7,7.3,9.507519843295512,3.197000487375305,37.13082874609751
"Winn, Masyn",True,69.3,7.2,4.633255844193486,0.8331963579205319,27.93820165212673
"Caballero, José",False,65.3,6.6,8.451625376652602,0.0010559781987423,31.00867458295673
"Soler, Jorge",False,73.3,7.9,12.064082405777318,-7.88063590803984,34.23152582379024
"Marsee, Jakob",False,67.3,6.6,5.499155873896281,-6.795180247412522,31.399887584609047
"Trout, Mike",True,73.1,7.4,6.447326070462379,-0.6766467658645381,35.513998868476435
"Semien, Marcus",True,66.5,7.7,13.979797584385013,-1.715458912713497,33.988750221867825
"McNeil, Jeff",False,66.6,7.1,6.011290027212479,-0.6362699787379068,34.88676852997011
"Nuñez, Nasim",False,64.5,6.5,2.3645376884574025,5.583775599326657,31.909792447824348
"Bogaerts, Xander",True,69.9,7.3,10.797662671012276,-4.184315915504039,32.35828608597558
"Lee, Jung Hoo",False,66.6,7.6,3.197626074325662,-3.5984008438055333,38.789893056751815
"McCarthy, Jake",False,67.3,6.9,8.074768100214035,-1.719661971268256,32.540382093865844
"Muncy, Max",True,70.0,6.9,15.381652250226242,-4.775356032379144,33.67392678791655
"Karros, Kyle",False,68.2,6.9,6.841296069067154,-6.193209021212594,37.64515120515316
"Springer, George",False,70.5,7.4,8.890449524946082,1.774694111455354,33.75078577586213
"Manzardo, Kyle",False,67.9,7.3,17.005330701746804,1.7968403791312964,37.506035676112354
"Mangum, Jake",False,64.6,6.5,2.3619139849436066,11.096736078380468,31.294224377928348
"Bauers, Jake",False,74.7,7.6,9.840423315091543,0.214906246518869,34.620447925465605
"Sheets, Gavin",False,71.9,7.6,7.258955364655621,-4.495210561645105,28.47110573720887
"Ramírez, José",False,68.6,7.2,9.598863691652422,-8.484638667611394,31.007060164547973
"Chapman, Matt",False,74.2,7.3,3.04060168828288,0.2825531380961109,25.394696108481376
"De La Cruz, Elly",True,74.0,7.0,7.810363224045238,2.286866288149862,34.38530775300604
"Peters, Tristan",False,65.1,6.5,10.434355407335053,-4.525166411985576,30.635644295760063
"Johnston, Troy",True,68.6,6.6,8.841602830640102,1.0153768161762162,34.134489780220086
"Benintendi, Andrew",False,67.9,7.0,15.938951747319344,-4.136908042032163,31.42849528728945
"Durbin, Caleb",False,66.6,6.8,8.285939343509014,-0.9619336159749904,28.895683698760035
"Schanuel, Nolan",True,65.9,6.7,6.36139564053817,-1.8698268082989689,35.2510205316322
"Crawford, Justin",False,66.2,6.8,1.7746254463346585,10.99650046326927,28.8142684025616
"Church, Nathan",True,66.9,7.0,3.956630175202726,-1.0384393360325093,31.82613082744805
"Pasquantino, Vinnie",False,68.4,7.2,9.769552448733648,-7.827960603056504,28.33416854508871
"Mitchell, Garrett",True,75.2,7.1,8.861401387490025,7.556578210365259,30.97653617616989
"Altuve, Jose",True,65.6,7.5,12.933969051011449,-0.5748892070573397,28.17064235514798
"Simpson, Chandler",False,61.7,6.3,3.2285678121203105,3.698687773692853,28.83529542506053
"Keaschall, Luke",True,66.9,6.7,10.194396156791733,-2.8810812783806043,36.872482504783854
"Basallo, Samuel",True,72.6,7.5,10.698112574452807,-2.4466009984251915,33.23567064049474
"Chourio, Jackson",True,72.8,7.3,8.671446098550724,4.239608767332404,27.74808304255524
"DeLauter, Chase",True,69.6,7.1,3.860637509031244,1.8583678607830445,28.711677039189365
"Taveras, Leody",True,68.7,7.2,5.80178907741022,-8.548582992479648,33.92204376619441
"Pederson, Joc",False,69.7,7.4,8.530228833858587,-0.9607655099764414,28.244623638731635
"Crawford, J.P.",True,69.3,7.2,4.869003275710612,1.57053818649501,33.724994926177374
"Peraza, Oswald",True,70.2,7.5,5.584851726246772,-0.8752910271807539,28.30158977836716
"Raley, Luke",False,73.1,7.2,14.088954215710832,-3.618601517894204,31.52404691048195
"Moreno, Gabriel",False,69.8,7.0,8.13083511028369,3.659639211980784,34.22756886704262
"Yelich, Christian",False,71.1,7.4,10.07749015096213,9.775948070940052,36.566725462460845
"France, Ty",False,70.1,7.5,9.50079176462978,7.8642603947228595,34.71307518930634
