name,uid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
"Arenado, Nolan",b571448_r,141.7686512183908,351.51647135632186,145.27909112643678,191.64007098850573,125.24245590804594,333.2979928275862,142.2860285057471,99.64653149425286,,,,,,,,
"Arozarena, Randy",b668227_r,164.10492004077474,298.25478230377166,173.85181064220183,186.9276313965341,149.33152815494395,272.8267123343527,177.4391088277268,34.12082364933745,,,,,,,,
"Arraez, Luis",b650333_l,125.29305456815814,220.34245827263268,55.727989177939634,351.450862351717,78.0860801664932,98.53233814776274,74.65502601456816,321.26273581685746,,,,,,,,
"Baldwin, Drake",b686948_l,127.80138452012385,174.81984099071207,77.97116796697628,335.91289378740976,64.016551001032,56.92814348813211,75.40279512899897,301.6558411558308,,,,,,,,
"Basallo, Samuel",b694212_l,125.48373090909092,206.3595480877743,67.23951874608153,351.7682109090909,63.98572062695924,118.90351598746082,81.0404784952978,326.8623658934169,,,,,,,,
"Baty, Brett",b683146_l,94.9888740425532,160.47036574468086,83.03766978723405,331.9120340425532,84.87425723404252,72.79442978723401,73.30868276595749,302.7535734042553,,,,,,,,
"Bauers, Jake",b641343_l,124.99210576271189,237.42956203389824,77.81860610169488,333.89525423728816,67.30086408376964,121.42423685863872,72.22393549738221,321.1184837696335,,,,,,,,
"Bazzana, Travis",b683953_l,62.05489516265912,207.5557702970297,59.35158065063649,350.6791728429986,78.36338376237623,87.80256520509194,70.92148209335221,313.2644123338048,,,,,,,,
"Bell, Josh",b605137_s,136.27942747826086,139.613196057971,92.01185159420294,341.3031995362319,67.15533310144924,89.65513507246376,82.93184672463768,321.19782307246385,143.76442530351437,341.3117449201278,110.11227143769968,153.1852278594249,141.23634146964858,323.01983948881787,159.32263923322685,129.76711923322685
"Bellinger, Cody",b641355_l,88.86788104607723,221.67138470734744,44.9699680199253,346.13532353673725,96.476021120797,129.51531397260274,60.681562739726,336.5976117559153,,,,,,,,
"Benge, Carson",b701807_l,108.02708891191708,157.2911018445596,83.38632903626946,340.8692528082902,50.574313948186514,65.3895285388601,87.17920795854921,299.80262731606217,,,,,,,,
"Benintendi, Andrew",b643217_l,82.50251761589408,191.17897642384105,61.15310283443709,327.19489843708607,74.04611034482757,66.42072551724135,67.72289379310344,304.7583117241379,,,,,,,,
"Betts, Mookie",b605141_r,150.7291746666667,326.50504586666665,108.84786160000004,173.6082048,146.93746639999998,293.30413439999995,162.35594133333336,81.62628879999998,,,,,,,,
