"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
515,669257,"Smith, Will",1497,34.4,0.355,0.225,0.366,0.58,0.392,0.368,0.314,82,231,91.1,19.5,2274,90.6,90.9,107,515,0,0.30000000000001137,6.45,109,150,122,147,305,321,292,"-5.856","5.856","69.7","7.2",236,203,55,14,1,12,33,14,0,0,2.20247,0.65736,0.3552,0.13804,"92.3",198,45.812807881773395,12.807881773399016,11.016949152542372,5.74,-0.91,-0.01,2.43,0.347,26,"1.137087379",0.308,0.574,"-1.137087379",0.041,0.03899999999999998,0.006,0.024,20.8,"37.9",11.65364983135046,1.1251460444884056,33.618654913285944,0.6310679611650486,37.41670884166002,31.149580878044645
530,665161,"Peña, Jeremy",1181,44.9,0.348,0.188,0.362,0.535,0.377,0.346,0.313,98,282,89,8.9,2303,88.4,88.34,128,530,0,-0.10000000000000853,6.42,107,152,114,147,296,323,287,"-5.763","5.763","72.4","7.5",284,251,68,18,1,11,33,11.6,0,0,2.46302,0.5126,0.24246,0.04321,"92.5",133,42.8,8.4,7.394366197183098,5.76,-1.26,0.28,2.29,0.345,21,"1.087358491",0.312,0.495,"-1.087358491",0.035,0.032999999999999974,0.04,0.031,24.2,"36.3",10.266313149499426,-7.684952514603623,29.770810090483423,0.6169811320754717,37.77904173024965,31.65494056616318
249,808975,"Kim, Hyeseong",567,43.9,0.348,0.116,0.416,0.464,0.352,0.291,0.281,39,112,86.5,5.7,2353,89.7,89.99,75,249,0,0.29999999999999716,6.43,115,146,111,150,287,315,299,"-1.288","1.288","67.6","7.1",112,91,31,5,1,2,21,18.8,0,0,2.34137,0.53394,0.25924,-0.18317,"90.4",141,30.76923076923077,2.197802197802198,1.7857142857142856,5.74,-1.48,0.02,2.17,0.348,2,"0.517269076",0.281,0.393,"-0.517269076",0.067,0.06699999999999995,0.071,0.061,30.1,"37.9",10.501649500966964,-0.20078823716748223,41.56086026481503,0.39759036144578314,34.14933391876698,25.729655354497858
712,666018,"Aranda, Jonathan",1659,42.9,0.347,0.175,0.406,0.523,0.37,0.388,0.332,99,285,92.9,16.1,2288,90,90.16,168,712,0,0.20000000000000284,6.39,114,145,126,150,290,322,295,"-0.797","0.797","70.5","7.3",288,229,69,20,0,10,59,20.5,0,0,2.27024,0.59252,0.39461,-0.32607,"92.4",174,54.824561403508774,11.842105263157894,9.375,5.7,-1.2,0.01,2.32,0.344,27,"0.111938202",0.331,0.577,"-0.111938202",0.015,0.012999999999999956,-0.054,-0.018,23.6,"36.6",10.215498559044171,3.7261759261763467,35.631715647341615,0.5646067415730337,37.67932179755299,27.270415923823446
452,676694,"Meyers, Jake",1149,39.3,0.344,0.123,0.368,0.467,0.347,0.336,0.316,73,212,88.2,11.4,2310,90,89.88,81,452,0,-0.09999999999999432,6.41,107,151,114,146,296,323,288,"5.245","-5.245","68.6","7.0",214,193,55,13,2,3,21,9.8,0,0,2.22907,0.64511,0.36641,0.16681,"91.3",155,35.602094240837694,4.712041884816754,4.205607476635514,5.82,-1.12,0.06,2.44,0.341,9,"-1.16039823",0.315,0.467,"1.16039823",0.028,0.026000000000000023,0,0.011,17.9,"37.3",6.526793914276109,-2.237910918771875,32.48114243366499,0.4358407079646018,39.86244936332782,29.654543493005594
397,660670,"Acuña Jr., Ronald",1009,39.3,0.341,0.289,0.393,0.63,0.413,0.387,0.299,59,173,92.7,14.6,2337,89.7,89.9,113,397,0,0.20000000000000284,6.43,109,152,124,148,312,331,297,"-6.707","6.707","76.3","7.6",173,130,36,9,1,13,43,24.9,0,0,2.36683,0.51207,0.23305,0.02907,"93.1",170,53.84615384615385,17.692307692307693,13.294797687861271,5.78,-0.95,0.17,2.3,0.341,23,"1.689420655",0.299,0.626,"-1.689420655",0.042,0.04200000000000004,0.004,0.026,28.5,"36.4",12.277944981536837,6.796403018360305,38.99421064857932,0.5138539042821159,36.13627001828054,30.160664834190257
193,642851,"Wynns, Austin",431,44.8,0.341,0.305,0.367,0.646,0.414,0.352,0.294,28,82,88.6,13.6,2215,88.8,88.99,50,193,0,0.20000000000000284,6.43,106,151,123,147,302,321,284,"-4.979","4.979","70.8","7.5",83,66,15,7,0,6,17,20.5,0,0,2.4142,0.52922,0.48461,0.06824,"92.8",148,43.93939393939394,10.606060606060606,8.433734939759036,5.75,-0.37,-0.04,2.4,0.337,7,"2.579792746",0.29,0.549,"-2.579792746",0.047,0.04700000000000004,0.097,0.062,25.9,"36.3",13.680012370405544,-7.765927044137754,34.277211409988396,0.47150259067357514,37.097115954054935,34.10886188072045
114,665052,"Conine, Griffin",280,40.7,0.34,0.189,0.415,0.528,0.372,0.345,0.301,18,53,92.1,10,2160,89.7,89.86,37,114,0,0.20000000000000284,6.59,114,145,123,150,291,316,299,"-2.494","2.494","74.5","7.5",53,42,10,7,0,1,11,20.8,0,0,2.21158,0.67851,0.58342,-0.40149,"93.2",157,52.38095238095239,16.666666666666664,13.20754716981132,5.57,-0.75,-0.01,2.39,0.34,7,"2.187719298",0.301,0.511,"-2.187719298",0.039,0.039000000000000035,0.017,0.027,32.5,"32.0",11.488971247985026,1.3566150344391041,28.156454900597076,0.47368421052631576,39.32026333359814,28.521882452895024
354,671289,"Freeman, Tyler",900,39.3,0.337,0.114,0.345,0.451,0.333,0.326,0.318,59,175,91.3,7.6,2276,90.6,91.05,31,354,0,0.5,6.4,106,149,113,145,306,326,293,"3.005","-3.005","72.1","7.0",179,169,42,15,1,1,10,5.6,0,0,2.15653,0.63486,0.37416,0.12414,"92.4",154,46.42857142857143,3.571428571428571,3.35195530726257,5.84,-0.76,0.01,2.25,0.33,6,"-0.848870056",0.318,0.434,"0.848870056",0.019,0.01200000000000001,0.017,0.007,8.8,"39.8",2.5567131002213066,1.2793436735086252,35.77932417358887,0.3220338983050847,37.44009526077195,29.18949273673807
700,669065,"Stowers, Kyle",1482,47.2,0.333,0.326,0.365,0.66,0.416,0.408,0.319,95,285,92.3,15.3,2274,89.9,89.91,215,700,0,0,6.41,117,146,121,151,296,321,303,"-8.241","8.241","75.1","6.8",288,220,51,18,3,23,68,23.6,0,0,2.20137,0.68969,0.44452,-0.32773,"93.4",171,54.794520547945204,21.00456621004566,15.972222222222221,5.71,-1.11,-0.02,2.44,0.33,46,"1.177285714",0.318,0.653,"-1.177285714",0.014,0.01200000000000001,0.007,0.008,30.7,"37.2",11.604279767615456,0.20765844033748773,33.8989585753201,0.5214285714285715,38.046480171474165,31.649842960901434
