name,uid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
"Trout, Mike",b545361_r,182.0203296901409,329.72389498591554,162.96716642253523,165.82951571830984,136.29282456338026,301.5135961690141,169.88726783098593,108.11659943661974,,,,,,,,
"Tucker, Kyle",b663656_l,74.19488757160644,162.1004411457036,71.65672547945204,352.8790073225405,60.70835925280204,108.41285658779577,69.51859945205483,328.8341995516812,,,,,,,,
"Turang, Brice",b668930_l,68.99930423645318,195.36606857142857,72.72689221674875,338.5986033497537,57.47218758620693,102.5734287684729,86.1221485714286,304.55346049261084,,,,,,,,
"Turner, Trea",b607208_r,136.96236541019957,337.22439893569845,147.6330144567627,118.68901906873614,133.58624407982265,321.78608088691794,128.06716931263858,84.384787405765,,,,,,,,
"Vargas, Ildemaro",b545121_l,110.90357431578947,60.91088842105262,67.25721010526316,231.22064799999998,63.35753852631581,12.547647999999981,61.66510273684213,222.50162189473684,156.2733814857143,315.6349906285715,129.60900571428567,168.5679488,140.0767305142857,289.53171565714285,163.7706166857143,72.78881005714285
"Vargas, Ildemaro",b545121_r,110.90357431578947,60.91088842105262,67.25721010526316,231.22064799999998,63.35753852631581,12.547647999999981,61.66510273684213,222.50162189473684,156.2733814857143,315.6349906285715,129.60900571428567,168.5679488,140.0767305142857,289.53171565714285,163.7706166857143,72.78881005714285
"Vargas, Miguel",b678246_r,162.7570175,336.783095,147.80708500000003,209.36368,157.95838750000001,312.36798,156.63120000000006,76.91487249999999,,,,,,,,
"Varsho, Daulton",b662139_l,64.51987811697575,181.03854174037087,74.73126276747503,333.8954570042796,76.9883387161198,107.66636667617689,83.8231653067047,312.37727840228246,,,,,,,,
"Walker, Christian",b572233_r,159.08920593967517,330.9509588863109,123.50239183294661,199.4540851972158,166.63048120789782,310.7758892450639,155.57246680603947,96.14002973286875,,,,,,,,
"Walker, Jordan",b691023_r,120.84257375302661,326.30550585956416,118.36425375302665,209.23434266343827,110.90031980629541,307.7655215496368,121.04030217917676,67.79021791767556,,,,,,,,
"Ward, Taylor",b621493_r,161.89838376119405,338.7033891343284,99.91740752238807,266.4865559402985,142.75522173134325,307.67255832835826,159.00052465671638,91.84770388059701,,,,,,,,
"Wetherholt, JJ",b802139_l,134.21063200000003,233.87302666666665,75.43302933333337,338.3519813333333,36.17166933333333,104.69749066666668,73.61884266666672,299.6692906666667,,,,,,,,
"Wilson, Jacob",b805779_r,163.9567852075472,333.18419260377357,128.90619894339625,201.04778143396226,153.1108842264151,292.85599486792455,164.32354807547173,57.670810867924516,,,,,,,,
"Winn, Masyn",b691026_r,174.460219084195,336.5933329394387,120.20407350073853,252.4464352141802,138.92278617429835,311.3305039881832,155.86051497784345,100.85149116691287,,,,,,,,
"Witt Jr., Bobby",b677951_r,169.7943837974684,337.8665883544304,122.96488348804505,174.83769789029537,137.41276534458513,311.0041255696202,149.6665075668073,84.82843904360057,,,,,,,,
"Wood, James",b695578_l,138.6146337801608,185.36106144772117,84.14514680965146,349.6997898123324,88.72728922252008,73.6675094906166,94.46177951742631,320.42251839142097,,,,,,,,
"Yelich, Christian",b592885_l,76.44821414141413,147.00477845117842,76.23567245791249,324.14011016835013,92.28486841750842,56.583750303030286,77.81315986531985,315.1849222895623,,,,,,,,
"Young, Cole",b702284_l,101.70269882352946,224.80118784313726,48.80030764705885,331.1888239215686,50.14466058823532,81.33362372549017,48.71268764705882,309.46121019607847,,,,,,,,
"Young, Jacob",b696285_r,148.67954897880543,342.78175198458575,121.75388084778416,173.6969729479769,140.39868423892102,322.3203310982659,147.114847938343,93.62009895953756,,,,,,,,
